id,base_dimensions,weight,allowed_rotations,is_fragile
1,"(14, 11, 34)",19,[0],False
2,"(26, 24, 47)",6,"[0, 1, 2, 3, 4, 5]",False
3,"(33, 26, 11)",11,"[0, 1]",False
4,"(35, 13, 22)",9,"[0, 1]",False
5,"(26, 50, 10)",11,"[0, 1, 2, 3, 4, 5]",False
6,"(31, 39, 22)",19,"[0, 1]",False
7,"(48, 31, 45)",13,"[0, 1, 2, 3, 4, 5]",False
8,"(32, 11, 20)",8,"[0, 1]",False
9,"(15, 27, 48)",10,[0],False
10,"(18, 13, 39)",7,"[0, 1, 2, 3, 4, 5]",False
11,"(17, 11, 46)",6,"[0, 1, 2, 3, 4, 5]",False
12,"(18, 25, 47)",9,"[0, 1, 2, 3, 4, 5]",False
13,"(13, 26, 12)",17,"[0, 1, 2, 3, 4, 5]",False
14,"(12, 26, 40)",20,"[0, 1]",False
15,"(24, 15, 22)",18,[0],False
16,"(17, 15, 32)",12,[0],False
17,"(32, 11, 30)",13,"[0, 1]",False
18,"(26, 50, 48)",13,"[0, 1]",False
19,"(12, 42, 40)",13,"[0, 1, 2, 3, 4, 5]",False
20,"(45, 49, 44)",20,"[0, 1, 2, 3, 4, 5]",False
21,"(37, 44, 13)",5,[0],False
22,"(30, 48, 20)",16,"[0, 1, 2, 3, 4, 5]",False
23,"(25, 32, 31)",14,"[0, 1, 2, 3, 4, 5]",False
24,"(43, 32, 39)",19,"[0, 1]",False
25,"(43, 48, 20)",18,"[0, 1]",False
26,"(46, 44, 47)",12,"[0, 1, 2, 3, 4, 5]",False
27,"(38, 42, 50)",12,"[0, 1]",False
28,"(12, 17, 25)",11,"[0, 1, 2, 3, 4, 5]",False
29,"(44, 43, 48)",11,"[0, 1]",False
30,"(34, 31, 24)",15,"[0, 1]",False
