id,base_dimensions,weight,allowed_rotations,is_fragile
1,"(46, 27, 29)",17,"[0, 1, 2, 3, 4, 5]",False
2,"(25, 12, 44)",11,"[0, 1, 2, 3, 4, 5]",False
3,"(38, 22, 46)",13,"[0, 1, 2, 3, 4, 5]",False
4,"(32, 31, 25)",16,"[0, 1]",False
5,"(41, 32, 38)",7,"[0, 1, 2, 3, 4, 5]",False
6,"(24, 10, 42)",6,"[0, 1, 2, 3, 4, 5]",False
7,"(32, 50, 16)",11,"[0, 1, 2, 3, 4, 5]",False
8,"(12, 22, 17)",13,"[0, 1, 2, 3, 4, 5]",False
9,"(16, 15, 29)",5,[0],False
10,"(46, 20, 47)",17,"[0, 1, 2, 3, 4, 5]",False
11,"(10, 31, 33)",8,"[0, 1, 2, 3, 4, 5]",False
12,"(15, 34, 34)",6,[0],0,False
13,"(30, 44, 29)",16,"[0, 1, 2, 3, 4, 5]",False
14,"(32, 26, 28)",13,"[0, 1, 2, 3, 4, 5]",False
15,"(27, 10, 32)",10,"[0, 1]",False
16,"(13, 16, 50)",15,"[0, 1]",False
17,"(21, 47, 20)",19,"[0, 1, 2, 3, 4, 5]",False
18,"(31, 37, 11)",15,"[0, 1, 2, 3, 4, 5]",False
19,"(29, 21, 27)",6,"[0, 1]",False
20,"(48, 30, 40)",14,"[0, 1, 2, 3, 4, 5]",False
21,"(46, 36, 46)",17,"[0, 1, 2, 3, 4, 5]",False
22,"(45, 18, 33)",10,"[0, 1, 2, 3, 4, 5]",alse
23,"(39, 30, 20)",6,"[0, 1]",False
24,"(25, 22, 21)",6,[0],False
25,"(16, 38, 44)",7,"[0, 1]",False
26,"(37, 39, 18)",7,[0],False
27,"(15, 26, 14)",14,[0],False
28,"(10, 14, 46)",18,"[0, 1, 2, 3, 4, 5]",False
29,"(34, 22, 17)",17,[0],False
30,"(19, 38, 29)",12,"[0, 1]",False
