id,base_dimensions,weight,allowed_rotations,is_fragile
1,"(43, 33, 43)",8,[0],FALSE
2,"(38, 23, 44)",5,"[0, 1]",FALSE
3,"(27, 34, 43)",10,[0],FALSE
4,"(47, 22, 33)",6,"[0, 1, 2, 3, 4, 5]",FALSE
5,"(18, 19, 21)",17,"[0, 1]",FALSE
6,"(43, 31, 38)",17,"[0, 1, 2, 3, 4, 5]",FALSE
7,"(48, 43, 35)",14,"[0, 1, 2, 3, 4, 5]",FALSE
8,"(27, 50, 17)",11,"[0, 1]",FALSE
9,"(25, 33, 30)",16,[0],FALSE
10,"(33, 40, 27)",20,"[0, 1, 2, 3, 4, 5]",FALSE
11,"(17, 31, 28)",20,"[0, 1, 2, 3, 4, 5]",FALSE
12,"(13, 32, 25)",6,"[0, 1]",FALSE
13,"(24, 43, 29)",18,"[0, 1]",FALSE
14,"(32, 48, 45)",6,[0],FALSE
15,"(37, 22, 12)",15,[0],FALSE
16,"(37, 39, 45)",9,"[0, 1, 2, 3, 4, 5]",FALSE
17,"(19, 28, 23)",10,[0],FALSE
18,"(12, 22, 32)",15,"[0, 1]",FALSE
19,"(32, 33, 42)",6,"[0, 1, 2, 3, 4, 5]",FALSE
20,"(27, 39, 45)",8,"[0, 1]",FALSE
21,"(37, 43, 50)",13,"[0, 1, 2, 3, 4, 5]",FALSE
22,"(37, 21, 40)",13,[0],FALSE
23,"(34, 27, 47)",15,"[0, 1]",FALSE
24,"(11, 43, 42)",14,"[0, 1, 2, 3, 4, 5]",FALSE
25,"(25, 16, 40)",8,"[0, 1, 2, 3, 4, 5]",FALSE
26,"(24, 47, 27)",14,"[0, 1]",FALSE
27,"(40, 21, 38)",11,"[0, 1, 2, 3, 4, 5]",FALSE
28,"(32, 45, 26)",19,"[0, 1, 2, 3, 4, 5]",FALSE
29,"(34, 44, 21)",11,[0],FALSE
30,"(31, 28, 44)",7,"[0, 1]",FALSE
